company_id,fiscal_period,stock_price_open,stock_price_min,stock_price_max,stock_price_close
1,2022-03-31,26.1541,31.6968,23.2498,26.5047
1,2022-06-30,26.5047,27.4812,21.3898,22.7847
1,2022-09-30,22.7382,26.8767,20.9247,25.9002
1,2022-12-31,25.6677,31.9916,25.6677,27.4346
1,2023-03-31,27.5742,52.434,27.5742,44.0407
1,2023-06-30,44.0879,72.6154,44.0879,67.1457
1,2023-09-30,69.2204,73.3699,54.886,57.1493
1,2023-12-31,57.5265,88.0816,51.4909,81.103
1,2024-03-31,82.8004,151.503,76.199,144.266
1,2024-06-30,145.52,147.643,112.904,140.502
1,2024-09-30,140.502,185.664,119.273,185.085
1,2024-12-31,185.664,195.41,156.907,191.647
1,2025-03-31,192.998,241,190.489,215
1,2025-06-30,214.2,236.4,184,188
1,2025-09-30,190.2,259,180.2,252
1,2025-12-31,252,284.4,245.2,259.2
2,2022-03-31,11.7994,14.0093,9.70319,13.7117
2,2022-06-30,13.8818,16.4824,13.6125,15.7498
2,2022-09-30,15.8414,17.9322,14.9258,15.4141
2,2022-12-31,15.2614,24.6473,15.1852,23.6705
2,2023-03-31,23.9757,28.1574,21.6255,24.1894
2,2023-06-30,24.1894,33.4836,24.0368,31.6827
2,2023-09-30,32.049,36.3235,25.9453,26.5507
2,2023-12-31,26.5507,33.8327,25.0112,32.7084
2,2024-03-31,32.9505,49.9879,31.6705,47.3069
2,2024-06-30,47.8258,68.248,47.8258,66.6842
2,2024-09-30,67.0379,68.0246,51.1953,57.1154
2,2024-12-31,57.1154,68.6948,56.2218,65.53
2,2025-03-31,66.0885,72.6043,58.3999,63.4263
2,2025-06-30,63.4263,85.4124,59.2563,81.46
2,2025-09-30,81.5,82.22,69.94,71.8
2,2025-12-31,72.16,73.52,61.86,69.82
3,2022-03-31,49.2821,50.6089,36.0139,45.7754
3,2022-06-30,45.8703,46.4389,34.1658,36.5836
3,2022-09-30,37.1612,38.8942,34.1767,37.0649
3,2022-12-31,37.5463,46.2108,31.5292,45.1999
3,2023-03-31,46.1145,53.4312,42.9375,51.5058
3,2023-06-30,52.8536,74.515,48.1362,72.2044
3,2023-09-30,72.0118,83.7571,64.6377,77.3309
3,2023-12-31,78.8931,96.0778,68.9338,85.3374
3,2024-03-31,86.8996,116.68,82.994,108.38
3,2024-06-30,108.38,136.696,99.1047,123.503
3,2024-09-30,123.503,136.841,111.647,129.431
3,2024-12-31,129.431,151.168,107.695,148.698
3,2025-03-31,148.204,160.06,137.335,149.686
3,2025-06-30,147.808,173.695,128.443,169.6
3,2025-09-30,169.4,198.4,154,190.2
3,2025-12-31,191,209,170.4,200
4,2022-03-31,275.622,304.115,199.461,264.592
4,2022-06-30,264.592,270.501,195.135,211.766
4,2022-09-30,214.773,267.848,198.143,208.758
4,2022-12-31,207.874,280.762,200.266,274.216
4,2023-03-31,276.87,316.144,253.163,272.624
4,2023-06-30,274.216,363.381,274.216,360.903
4,2023-09-30,364.442,404.956,340.455,380.736
4,2023-12-31,383.494,452.652,367.676,438.673
4,2024-03-31,441.433,442.904,379.815,407.405
4,2024-06-30,409.98,460.104,388.46,442.136
4,2024-09-30,442.518,459.722,387.275,424.168
4,2024-12-31,424.168,433.725,387.849,397.406
4,2025-03-31,405.244,442.518,359.94,360.705
4,2025-06-30,363.19,404.097,328.878,383.93
4,2025-09-30,386.128,482.6,379.82,458
4,2025-12-31,457,490,428.5,486.2
5,2022-03-31,14899.7,16445.7,6434.89,9907.17
5,2022-06-30,10080,10218.2,7177.73,8047.14
5,2022-09-30,7962.16,9313.03,6884.14,6973.6
5,2022-12-31,7148.05,9840.83,6436.81,9527.74
5,2023-03-31,9527.74,11299.1,8051.62,8570.5
5,2023-06-30,8552.61,13338.7,8199.23,12533.7
5,2023-09-30,12524.8,13545.4,11448.1,12011.6
5,2023-12-31,12159.5,15642.7,10958.2,14959
5,2024-03-31,14959,17536.9,10080.6,14136.8
5,2024-06-30,14303,16912.8,13508.4,16084.5
5,2024-09-30,16103.4,16470.4,12818.7,14861
5,2024-12-31,14964.6,16330.2,13265.9,14937.4
5,2025-03-31,15081.4,17790.3,14293.7,16916.1
5,2025-06-30,16916.1,17425.3,13223.6,14396.3
5,2025-09-30,14425.8,18243.2,14048,17350.2
5,2025-12-31,17227.5,21400,15405,21100
6,2022-03-31,6.19013,11.96,5.60828,10.9095
6,2022-06-30,10.7479,12.0813,7.70938,9.13169
6,2022-09-30,9.21243,10.5055,7.7902,8.48516
6,2022-12-31,8.08112,10.7075,7.273,10.7075
6,2023-03-31,10.667,11.3135,10.1014,10.5458
6,2023-06-30,11.0711,11.7175,9.33374,9.89934
6,2023-09-30,9.98023,14.5047,9.89934,14.2035
6,2023-12-31,14.4617,27.9764,14.3326,26.6853
6,2024-03-31,29.0955,42.4382,25.8245,39.081
6,2024-06-30,38.7367,55.6085,37.015,43.4612
6,2024-09-30,43.5534,48.1672,33.6801,42.8153
6,2024-12-31,42.8153,53.3479,39.4934,52.378
6,2025-03-31,52.378,69.8373,52.378,57.2278
6,2025-06-30,56.2578,84.2,48.4981,82
6,2025-09-30,82.4,102.2,78,96
6,2025-12-31,97.9,163,87.2,160.8
7,2022-03-31,74.8115,74.8115,59.952,69.0733
7,2022-06-30,69.7584,71.3856,59.7895,67.7286
7,2022-09-30,67.6837,69.9712,61.4939,62.0321
7,2022-12-31,61.8976,68.7602,56.9638,65.1271
7,2023-03-31,65.1271,73.2455,64.3646,68.2668
7,2023-06-30,68.7154,82.3956,67.011,75.1196
7,2023-09-30,74.8856,76.7578,65.6653,67.1162
7,2023-12-31,67.397,76.2897,66.0397,68.4267
7,2024-03-31,68.5671,73.6687,65.5249,72.5454
7,2024-06-30,72.8263,82.9826,70.9541,78.3814
7,2024-09-30,78.3814,90.5719,76.7658,85.0886
7,2024-12-31,85.0886,94.9291,81.3678,94.1948
7,2025-03-31,94.8802,159.602,90.8167,154.707
7,2025-06-30,155.882,203,120.044,202.2
7,2025-09-30,203,232.8,178.6,200.4
7,2025-12-31,202,254,180.1,221.4
8,2022-03-31,46.8294,48.2728,35.569,40.4345
8,2022-06-30,40.6256,46.9347,28.6769,35.9418
8,2022-09-30,35.655,36.2285,29.4417,30.3976
8,2022-12-31,30.5888,42.0595,29.824,37.28
8,2023-03-31,37.28,46.361,37.28,43.4933
8,2023-06-30,43.9713,69.0158,43.9713,68.8246
8,2023-09-30,68.8246,70.3541,56.398,59.7433
8,2023-12-31,59.3541,77.0631,59.3541,76.09
8,2024-03-31,75.117,119.682,69.6681,117.249
8,2024-06-30,118.222,146.926,106.059,133.282
8,2024-09-30,131.807,133.774,99.8388,121.479
8,2024-12-31,121.971,126.889,108.691,125.413
8,2025-03-31,125.413,128.856,107.216,115.085
8,2025-06-30,117.643,127.6,95.6092,121
8,2025-09-30,121,134.4,112.4,126
8,2025-12-31,125.6,136.4,116,122
9,2022-03-31,90.7636,97.2806,62.8371,79.4384
9,2022-06-30,80.3692,81.145,63.2252,76.4131
9,2022-09-30,76.0252,94.4182,73.4652,87.2048
9,2022-12-31,88.488,92.9761,80.9535,86.9106
9,2023-03-31,87.7219,128.012,85.2858,116.314
9,2023-06-30,116.314,122.81,95.8438,104.618
9,2023-09-30,104.618,126.789,99.7437,121.967
9,2023-12-31,122.974,122.974,90.4268,97.1368
9,2024-03-31,97.8084,100.66,72.9899,76.6523
9,2024-06-30,77.078,84.9988,64.473,65.2396
9,2024-09-30,66.5171,79.1296,61.5245,66.0155
9,2024-12-31,66.1052,66.3746,47.1538,60.6669
9,2025-03-31,60.6669,65.9222,44.2555,48.7732
9,2025-06-30,48.8654,56.4719,42.1349,54.5357
9,2025-09-30,54.5357,58.882,47.2948,53.1
9,2025-12-31,53,53.8,36.8,37.7
10,2022-03-31,596.052,665.469,472.029,559.956
10,2022-06-30,569.211,638.628,427.602,462.773
10,2022-09-30,468.327,646.031,453.518,527.562
10,2022-12-31,510.902,688.607,509.05,688.607
10,2023-03-31,684.905,1096.78,671.948,1069.01
10,2023-06-30,1069.01,1457.73,981.076,1416.09
10,2023-09-30,1416.09,1740.03,1360.55,1672.11
10,2023-12-31,1691.05,2027.37,1577.37,1847.37
10,2024-03-31,1866.32,2681.05,1866.32,2681.05
10,2024-06-30,2671.58,2889.47,2524.74,2747.37
10,2024-09-30,2747.37,2747.37,2226.32,2635
10,2024-12-31,2685,2990,2340,2895
10,2025-03-31,2900,3250,2750,2885
10,2025-06-30,2910,3530,2690,3170
10,2025-09-30,3145,3515,2960,3035
10,2025-12-31,3035,3595,2980,3430